Date,Rate,CAPE
01/01/1980,10.8,8.850934181
01/02/1980,12.41,9.054476092
01/03/1980,12.75,8.081150901
01/04/1980,11.47,7.844024505
01/05/1980,10.18,8.104225807
01/06/1980,9.78,8.512077962
01/07/1980,10.25,8.880865527
01/08/1980,11.1,9.071005982
01/09/1980,11.51,9.196040132
01/01/1980,11.75,9.357841047
01/11/1980,12.68,9.654043663
01/12/1980,12.84,9.389902085
01/01/1981,12.57,9.259404531
01/02/1981,13.19,8.829899354
01/03/1981,13.12,9.081096884
01/04/1981,13.68,9.085561231
01/05/1981,14.1,8.818483467
01/06/1981,13.47,8.765340744
01/07/1981,14.28,8.445319468
01/08/1981,14.94,8.399806317
01/09/1981,15.32,7.581163052
01/01/1981,15.15,7.649141713
01/11/1981,13.39,7.810752566
01/12/1981,13.72,7.832562137
01/01/1982,14.59,7.388659973
01/02/1982,14.43,7.181823451
01/03/1982,13.86,6.950673794
01/04/1982,13.87,7.259072625
01/05/1982,13.62,7.192612484
01/06/1982,14.3,6.692133988
01/07/1982,13.95,6.6386531
01/08/1982,13.06,6.643422752
01/09/1982,12.34,7.3988382
01/01/1982,10.91,7.999840995
01/11/1982,10.55,8.347476938
01/12/1982,10.54,8.467738401
01/01/1983,10.46,8.756783224
01/02/1983,10.72,8.910493437
01/03/1983,10.51,9.232829705
01/04/1983,10.4,9.531581284
01/05/1983,10.38,9.874456505
01/06/1983,10.85,10.0001179
01/07/1983,11.38,10.014476
01/08/1983,11.85,9.728056936
01/09/1983,11.65,9.984202458
01/01/1983,11.54,10.0033918
01/11/1983,11.69,9.853581649
01/12/1983,11.83,9.815010904
01/01/1984,11.67,9.894931809
01/02/1984,11.84,9.324529646
01/03/1984,12.32,9.326747067
01/04/1984,12.63,9.305643405
01/05/1984,13.41,9.231831817
01/06/1984,13.56,9.010185512
01/07/1984,13.36,8.868302214
01/08/1984,12.72,9.623063257
01/09/1984,12.52,9.687341314
01/01/1984,12.16,9.595070703
01/11/1984,11.57,9.691973222
01/12/1984,11.5,9.595054801
01/01/1985,11.38,9.997001178
01/02/1985,11.51,10.49493517
01/03/1985,11.86,10.37321721
01/04/1985,11.43,10.39711872
01/05/1985,10.85,10.60812047
01/06/1985,10.16,10.81004985
01/07/1985,10.31,10.99756396
01/08/1985,10.33,10.73879981
01/09/1985,10.37,10.47123466
01/01/1985,10.24,10.55251698
01/11/1985,9.78,11.16461113
01/12/1985,9.26,11.69052147
01/01/1986,9.19,11.71500758
01/02/1986,8.7,12.3882191
01/03/1986,7.78,13.18902298
01/04/1986,7.3,13.55250417
01/05/1986,7.71,13.5600462
01/06/1986,7.8,13.88868863
01/07/1986,7.3,13.61999553
01/08/1986,7.17,13.88766755
01/09/1986,7.45,13.46731431
01/01/1986,7.43,13.42591886
01/11/1986,7.25,13.8729856
01/12/1986,7.11,14.08513981
01/01/1987,7.08,14.9222081
01/02/1987,7.25,15.82231814
01/03/1987,7.25,16.43334398
01/04/1987,8.02,16.19653445
01/05/1987,8.61,16.16031195
01/06/1987,8.4,16.82520731
01/07/1987,8.45,17.30600439
01/08/1987,8.76,18.32690725
01/09/1987,9.42,17.67562045
01/01/1987,9.52,15.53005556
01/11/1987,8.86,13.59088514
01/12/1987,8.99,13.38902851
01/01/1988,8.67,13.89833668
01/02/1988,8.21,14.29827096
01/03/1988,8.37,14.66894681
01/04/1988,8.72,14.43331642
01/05/1988,9.09,14.03189135
01/06/1988,8.92,14.76646865
01/07/1988,9.06,14.60831572
01/08/1988,9.26,14.24494631
01/09/1988,8.98,14.36942878
01/01/1988,8.8,14.81145015
01/11/1988,8.96,14.44553068
01/12/1988,9.11,14.70208675
01/01/1989,9.09,15.08807244
01/02/1989,9.17,15.46706046
01/03/1989,9.36,15.29896911
01/04/1989,9.18,15.68674266
01/05/1989,8.86,16.18635354
