Date,rRate,rCAPE,Rate,CAPE
1980-01-01,10.8,8.850934180729103,10.8,8.850934180729103
1980-02-01,12.41,9.054476092192509,12.41,9.054476092192509
1980-03-01,12.75,8.081150900785493,12.75,8.081150900785493
1980-04-01,11.47,7.844024504719213,11.47,7.844024504719213
1980-05-01,10.18,8.10422580717649,10.18,8.10422580717649
1980-06-01,9.78,8.512077962306737,9.78,8.512077962306737
1980-07-01,10.25,8.880865527295837,10.25,8.880865527295837
1980-08-01,11.1,9.071005981618375,11.1,9.071005981618375
1980-09-01,11.51,9.196040131743233,11.51,9.196040131743233
1980-11-01,12.68,9.654043663233384,12.68,9.654043663233384
1980-12-01,12.84,9.389902084921738,12.84,9.389902084921738
1981-01-01,12.57,9.25940453087795,12.57,9.25940453087795
1981-02-01,13.19,8.829899353831303,13.19,8.829899353831303
1981-03-01,13.12,9.08109688385462,13.12,9.08109688385462
1981-04-01,13.68,9.08556123078874,13.68,9.08556123078874
1981-05-01,14.1,8.818483466548063,14.1,8.818483466548063
1981-06-01,13.47,8.765340744304925,13.47,8.765340744304925
1981-07-01,14.28,8.44531946787551,14.28,8.44531946787551
1981-08-01,14.94,8.399806316566439,14.94,8.399806316566439
1981-09-01,15.32,7.581163051923155,15.32,7.581163051923155
1981-11-01,13.39,7.810752565716107,13.39,7.810752565716107
1981-12-01,13.72,7.832562137141894,13.72,7.832562137141894
1982-01-01,14.59,7.388659973375995,14.59,7.388659973375995
1982-02-01,14.43,7.181823450546732,14.43,7.181823450546732
1982-03-01,13.86,6.950673793536031,13.86,6.950673793536031
1982-04-01,13.87,7.259072625426144,13.87,7.259072625426144
1982-05-01,13.62,7.192612484464623,13.62,7.192612484464623
1982-06-01,14.3,6.692133988197588,14.3,6.692133988197588
1982-07-01,13.95,6.638653100208757,13.95,6.638653100208757
1982-08-01,13.06,6.64342275216609,13.06,6.64342275216609
1982-09-01,12.34,7.398838200323306,12.34,7.398838200323306
1982-11-01,10.55,8.347476938155427,10.55,8.347476938155427
1982-12-01,10.54,8.467738401400476,10.54,8.467738401400476
1983-01-01,10.46,8.756783224134743,10.46,8.756783224134743
1983-02-01,10.72,8.910493436624117,10.72,8.910493436624117
1983-03-01,10.51,9.232829705190525,10.51,9.232829705190525
1983-04-01,10.4,9.531581284160412,10.4,9.531581284160412
1983-05-01,10.38,9.874456504668396,10.38,9.874456504668396
1983-06-01,10.85,10.00011790313002,10.85,10.00011790313002
1983-07-01,11.38,10.014475995571026,11.38,10.014475995571026
1983-08-01,11.85,9.728056935665206,11.85,9.728056935665206
1983-09-01,11.65,9.984202458028776,11.65,9.984202458028776
1983-11-01,11.69,9.85358164936428,11.69,9.85358164936428
1983-12-01,11.83,9.81501090360867,11.83,9.81501090360867
1984-01-01,11.67,9.894931809202538,11.67,9.894931809202538
1984-02-01,11.84,9.324529645727985,11.84,9.324529645727985
1984-03-01,12.32,9.326747066508243,12.32,9.326747066508243
1984-04-01,12.63,9.305643404594823,12.63,9.305643404594823
1984-05-01,13.41,9.23183181689605,13.41,9.23183181689605
1984-06-01,13.56,9.010185512291011,13.56,9.010185512291011
1984-07-01,13.36,8.868302214043302,13.36,8.868302214043302
1984-08-01,12.72,9.62306325737317,12.72,9.62306325737317
1984-09-01,12.52,9.687341313628083,12.52,9.687341313628083
1984-11-01,11.57,9.691973221783092,11.57,9.691973221783092
1984-12-01,11.5,9.595054801133463,11.5,9.595054801133463
1985-01-01,11.38,9.997001177730457,11.38,9.997001177730457
1985-02-01,11.51,10.494935172607082,11.51,10.494935172607082
1985-03-01,11.86,10.37321721492474,11.86,10.37321721492474
1985-04-01,11.43,10.397118719816824,11.43,10.397118719816824
1985-05-01,10.85,10.6081204678601,10.85,10.6081204678601
1985-06-01,10.16,10.81004984586122,10.16,10.81004984586122
1985-07-01,10.31,10.997563956793385,10.31,10.997563956793385
1985-08-01,10.33,10.738799808877287,10.33,10.738799808877287
1985-09-01,10.37,10.471234661697553,10.37,10.471234661697553
1985-11-01,9.78,11.164611128667472,9.78,11.164611128667472
1985-12-01,9.26,11.690521474467602,9.26,11.690521474467602
1986-01-01,9.19,11.71500758448799,9.19,11.71500758448799
1986-02-01,8.7,12.388219099418132,8.7,12.388219099418132
1986-03-01,7.78,13.189022981532723,7.78,13.189022981532723
1986-04-01,7.3,13.552504172869487,7.3,13.552504172869487
1986-05-01,7.71,13.560046199232344,7.71,13.560046199232344
1986-06-01,7.8,13.888688626457121,7.8,13.888688626457121
1986-07-01,7.3,13.619995534083811,7.3,13.619995534083811
1986-08-01,7.17,13.88766755086606,7.17,13.88766755086606
1986-09-01,7.45,13.467314312977138,7.45,13.467314312977138
1986-11-01,7.25,13.872985596138612,7.25,13.872985596138612
1986-12-01,7.11,14.085139814743318,7.11,14.085139814743318
1987-01-01,7.08,14.922208103718953,7.08,14.922208103718953
1987-02-01,7.25,15.822318142836458,7.25,15.822318142836458
1987-03-01,7.25,16.43334397606993,7.25,16.43334397606993
1987-04-01,8.02,16.196534453220885,8.02,16.196534453220885
1987-05-01,8.61,16.160311952655743,8.61,16.160311952655743
1987-06-01,8.4,16.825207307878717,8.4,16.825207307878717
1987-07-01,8.45,17.30600439051222,8.45,17.30600439051222
1987-08-01,8.76,18.326907245856333,8.76,18.326907245856333
1987-09-01,9.42,17.675620449938215,9.42,17.675620449938215
1987-11-01,8.86,13.590885143189078,8.86,13.590885143189078
1987-12-01,8.99,13.389028514426956,8.99,13.389028514426956
1988-01-01,8.67,13.89833668356913,8.67,13.89833668356913
1988-02-01,8.21,14.298270962469518,8.21,14.298270962469518
1988-03-01,8.37,14.668946811103456,8.37,14.668946811103456
1988-04-01,8.72,14.43331642083894,8.72,14.43331642083894
1988-05-01,9.09,14.031891348027765,9.09,14.031891348027765
1988-06-01,8.92,14.766468647879616,8.92,14.766468647879616
1988-07-01,9.06,14.608315717522093,9.06,14.608315717522093
1988-08-01,9.26,14.244946310675642,9.26,14.244946310675642
1988-09-01,8.98,14.36942877614016,8.98,14.36942877614016
1988-11-01,8.96,14.445530680872887,8.96,14.445530680872887
1988-12-01,9.11,14.702086748571993,9.11,14.702086748571993
1989-01-01,9.09,15.088072442713283,9.09,15.088072442713283
1989-02-01,9.17,15.467060462734745,9.17,15.467060462734745
1989-03-01,9.36,15.298969108882352,9.36,15.298969108882352
1989-04-01,9.18,15.686742656144576,9.18,15.686742656144576
1989-05-01,8.86,16.186353538544548,8.86,16.186353538544548
1989-06-01,8.28,16.64190423580858,8.28,16.64190423580858
1989-07-01,8.02,17.013407650499126,8.02,17.013407650499126
1989-08-01,8.11,17.734251436577317,8.11,17.734251436577317
1989-09-01,8.19,17.71422067897907,8.19,17.71422067897907
1989-11-01,7.87,17.242369266947417,7.87,17.242369266947417
1989-12-01,7.84,17.65021290494732,7.84,17.65021290494732
1990-01-01,8.21,17.048843606878265,8.21,17.048843606878265
1990-02-01,8.47,16.508093516490284,8.47,16.508093516490284
1990-03-01,8.59,16.833748233480943,8.59,16.833748233480943
1990-04-01,8.79,16.813913898735766,8.79,16.813913898735766
1990-05-01,8.76,17.392413588645002,8.76,17.392413588645002
1990-06-01,8.48,17.817082821653,8.48,17.817082821653
1990-07-01,8.47,17.747171587070238,8.47,17.747171587070238
1990-08-01,8.75,16.168334756508973,8.75,16.168334756508973
1990-09-01,8.89,15.30128544352262,8.89,15.30128544352262
1990-11-01,8.39,15.187607599503187,8.39,15.187607599503187
1990-12-01,8.08,15.84631497472876,8.08,15.84631497472876
1991-01-01,8.09,15.60619011880236,8.09,15.60619011880236
1991-02-01,7.85,17.35466474520511,7.85,17.35466474520511
1991-03-01,8.11,17.818620083397374,8.11,17.818620083397374
1991-04-01,8.04,18.155345895198018,8.04,18.155345895198018
1991-05-01,8.07,18.035430911004052,8.07,18.035430911004052
1991-06-01,8.28,18.01522704468833,8.28,18.01522704468833
1991-07-01,8.27,18.10345234551975,8.27,18.10345234551975
1991-08-01,7.9,18.51225845533772,7.9,18.51225845533772
1991-09-01,7.65,18.357282591774325,7.65,18.357282591774325
1991-11-01,7.42,18.28886816930135,7.42,18.28886816930135
1991-12-01,7.09,18.441652313512726,7.09,18.441652313512726
1992-01-01,7.03,19.773068211462647,7.03,19.773068211462647
1992-02-01,7.34,19.582982970386745,7.34,19.582982970386745
1992-03-01,7.54,19.28356186129856,7.54,19.28356186129856
1992-04-01,7.48,19.301229507881043,7.48,19.301229507881043
1992-05-01,7.39,19.662279795641698,7.39,19.662279795641698
1992-06-01,7.26,19.3153659676446,7.26,19.3153659676446
1992-07-01,6.84,19.620740694824406,6.84,19.620740694824406
